"SYMBOL 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","NO. OF SECURITY (POST) 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","MODE OF ACQUISITION 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
",is_insider
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,4485,2023-12-04,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,4523,2023-12-04,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,3773,2023-12-05,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,3523,2023-12-05,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,4023,2023-12-04,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,3023,2023-12-06,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,2773,2023-12-06,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,2273,2023-12-06,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,1250,2023-12-07,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,750,2023-12-07,Market Sale,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,500,2023-12-08,Market Sale,0,1
COFORGE,Mukund Garg,Employees/Designated Employees,Equity Shares,0.0,,,Buy,1418,2023-11-29,ESOP,0,1
COFORGE,Madan Mohan,Employees/Designated Employees,Equity Shares,0.07,,,Buy,55019,2023-11-29,ESOP,0,1
COFORGE,Siju Thampi,Employees/Designated Employees,Equity Shares,0.0,,,Buy,350,2023-11-29,ESOP,0,1
COFORGE,Madhusudan Hegde,Employees/Designated Employees,Equity Shares,0.0,,,Buy,2858,2023-11-29,ESOP,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Sell,5523,2023-11-28,Market Sale,0,1
COFORGE,Gautam Samanta,Employees/Designated Employees,Equity Shares,0.0,,,Sell,Nil,2023-11-03,Market Sale,0,1
COFORGE,Sudhir Singh,Key Managerial Personnel,Equity Shares,0.71,,,Buy,468200,2023-10-26,ESOP,0,1
COFORGE,Sudhir Singh,Key Managerial Personnel,Equity Shares,0.71,,,Buy,468000,2023-10-26,ESOP,0,1
COFORGE,Sanjay Dalwani,Employees/Designated Employees,Equity Shares,0.0,,,Buy,808,2023-09-27,ESOP,0,1
COFORGE,Sandeepan Mukherjee,Employees/Designated Employees,Equity Shares,0.0,,,Buy,2217,2023-10-26,ESOP,0,1
COFORGE,Shailendra Agarwal,Employees/Designated Employees,Equity Shares,0.0,,,Buy,6000,2023-10-26,ESOP,0,1
COFORGE,Mark Richard Holden,Employees/Designated Employees,Equity Shares,0.0,,,Buy,3071,2023-10-18,ESOP,0,1
COFORGE,Sandeepan Mukherjee,Employees/Designated Employees,Equity Shares,0.0,,,Buy,1480,2023-10-18,ESOP,0,1
COFORGE,Mukund Garg,Employees/Designated Employees,Equity Shares,0.0,,,Buy,719,2023-10-18,ESOP,0,1
COFORGE,Sanjeev Prasad,Employees/Designated Employees,Equity Shares,0.0,,,Buy,10405,2023-10-18,ESOP,0,1
COFORGE,Navneet Prasad,Employees/Designated Employees,Equity Shares,0.0,,,Buy,456,2023-10-18,ESOP,0,1
JAYNECOIND,JAYASWAL NECO STEEL AND MINING LIMITED,Promoter Group,Equity Shares,1.99,,,Buy,22018209,2023-12-26,Off Market,0,0
JAYNECOIND,ANURAG SALES AND SERVICES PRIVATE LIMITED,Promoter Group,Equity Shares,4.01,,,Buy,41622820,2023-12-26,Off Market,0,0
JAYNECOIND,NECO LEASING AND FINANCE PRIVATE LIMITED,Promoter Group,Equity Shares,0.09,,,Buy,3591320,2023-12-26,Off Market,0,0
JAYNECOIND,KARAMVEER IMPEX PRIVATE LIMITED,Promoter Group,Equity Shares,4.86,,,Buy,49920820,2023-12-26,Off Market,0,0
JAYNECOIND,BASANT LALL SHAW,Promoters,Equity Shares,1.06,,,Buy,13004670,2023-12-26,Off Market,0,0
JAYNECOIND,ARVIND JAYASWAL,Promoters,Equity Shares,0.25,,,Buy,5089740,2023-12-26,Off Market,0,0
JAYNECOIND,RAMESH JAYASWAL,Promoters,Equity Shares,0.25,,,Buy,5089740,2023-12-26,Off Market,0,0
JAYNECOIND,NISHA JAYASWAL,Promoters,Equity Shares,0.0,,,Buy,2716820,2023-12-26,Off Market,0,0
JAYNECOIND,NINE STAR PLASTIC PACKAGING SERVICES PRIVATE LIMITED,Promoter Group,Equity Shares,4.94,,,Buy,50632253,2023-12-26,Off Market,0,0
JAYNECOIND,APEX SPINNING MILLS PRIVATE LIMITED,Promoter Group,Equity Shares,3.92,,,Buy,40769198,2023-12-26,Off Market,0,0
JAYNECOIND,NECO VALVES AND PUMPS PRIVATE LIMITED,Promoter Group,Equity Shares,0.09,,,Buy,3555820,2023-12-26,Off Market,0,0
JAYNECOIND,AVON SALES AND SERVICES PRIVATE LIMITED,Promoter Group,Equity Shares,4.03,1000.0,1715652.0,Buy,41786820,2023-12-26,Off Market,0,0
JAYNECOIND,JAYASWAL NECO METALLICS PRIVATE LIMITED,Promoter Group,Equity Shares,4.6,2000.0,3464700.0,Buy,47395375,2023-12-26,Off Market,0,0
JAYNECOIND,JAYASWAL NECO ENERGY PRIVATE LIMITED,Promoter Group,Equity Shares,4.57,3899.0,6735147.0,Buy,47111320,2023-12-26,Off Market,0,0
JAYNECOIND,JAYASWAL NECO INFRASTRUCTURES PRIVATE LIMITED,Promoter Group,Equity Shares,4.04,,,Buy,41938431,2023-12-26,Off Market,0,0
JAYNECOIND,JAYASWAL NECO POWER PRIVATE LIMITED,Promoter Group,Equity Shares,3.85,,,Buy,40087987,2023-12-26,Off Market,0,0
JAYNECOIND,RITA JAYASWAL,Promoters,Equity Shares,0.0,,,Buy,2716820,2023-12-26,Off Market,0,0
JAYNECOIND,JAYASWAL HOLDINGS PRIVATE LIMITED,Promoter Group,Equity Shares,5.47,,,Buy,55790771,2023-12-26,Off Market,0,0
