"SYMBOL 
","COMPANY 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
"
ICICIGI,ICICI Lombard General Insurance Company Limited,Abhitosh Pandey,-,Equity Shares,500,0,,1500,1630275,Buy,Equity Shares,2000
IDFCFIRSTB,IDFC First Bank Limited,Madhivanan Balakrishnan,-,Equity Shares,1497007,0.02,,4371571,171264055,Buy,Equity Shares,5868578
IRCON,Ircon International Limited,"The President of India acting through and represented by the Ministry of Railways, Government of India",Promoters,Equity Shares,613060392,65.18,,132000,20948400,Sell,Equity Shares,612928392
CENTRUM,Centrum Capital Limited,AJAY SHARMA,Employees/Designated Employees,Equity Shares,100000,0.02,,62023,1804282,Sell,Equity Shares,37977
OMAXAUTO,Omax Autos Limited,Ravinder Kumar Mehta,Promoters,Equity Shares,789000,3.69,,149000,9668555,Sell,Equity Shares,640000
GVPTECH,GVP Infotech Limited,Dhaval Jitendrakumar Mistry (Trustee of Linkstar Trust),Promoters,Equity Shares,145966627,89.63,,700000,7280000,Sell,Equity Shares,145266627
SANGAMIND,Sangam (India) Limited,Sangam (India) Limited Employees Welfare Trust,Other,Equity Shares,376896,0.75,,5100,1867228,Buy,Equity Shares,381996
HNDFDS,Hindustan Foods Limited,Sixth Sense India Opportunities III,Other,Warrants,Nil,0,,1830663,249999916,Buy,Warrants,1830663
ASTRAL,Astral Limited,Saumya Polymers LLP,Promoter Group,Equity Shares,26395932,9.83,,3620737,6842468783,Sell,Equity Shares,22775195
VIPIND,VIP Industries Limited,Kiddy Plast Limited,Promoter Group,Equity Shares,2892724,2.04,,298000,179023345,Buy,Equity Shares,3190724
ASTRAL,Astral Limited,Kairav Chemicals Limited,Promoter Group,Equity Shares,18480065,6.88,,1060000,2003188000,Sell,Equity Shares,17420065
AUROPHARMA,Aurobindo Pharma Limited,SURYANARAYANA MURTHY MULA,Employees/Designated Employees,Equity Shares,7500,0,,3500,3737952,Sell,Equity Shares,4000
AUROPHARMA,Aurobindo Pharma Limited,Jacob Joseph,Other,Equity Shares,6000,0,,1500,1566000,Sell,Equity Shares,4500
SECL,Salasar Exteriors And Contour Limited,Shreekishan Joshi,Promoters,Equity Shares,63854600,62.02,,75000,1938750,Sell,Equity Shares,63779600
FUSION,Fusion Micro Finance Limited,Himanshu Dutt,-,Equity Shares,2450,0,,1700,1011500,Sell,Equity Shares,750
FUSION,Fusion Micro Finance Limited,Devesh Sachdev,Promoters,Equity Shares,4925189,4.88,,6125,3482861,Buy,Equity Shares,4931314
SHALPAINTS,Shalimar Paints Limited,Kusum Mittal,Promoter Group,Equity Shares,50000,0.06,,50000,9029169,Sell,Equity Shares,Nil
MHRIL,Mahindra Holidays & Resorts India Limited,Kavinder Singh,Director,Equity Shares,231973,0.11,,105325,38095042,Sell,Equity Shares,126648
